,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
363,Hell or High Water,2016,7.6,88.0,206646,26.86,102
364,Deliverance,1972,7.7,80.0,99497,7.06,109
365,Young Frankenstein,1974,8.0,80.0,144547,86.3,106
366,Grave of the Fireflies,1988,8.5,94.0,239666,,89
367,Bridge of Spies,2015,7.6,81.0,290761,72.31,142
368,The Fugitive,1993,7.8,87.0,269853,183.88,130
369,Remember the Titans,2000,7.8,48.0,199763,115.65,113
370,In Bruges,2008,7.9,67.0,393271,7.76,107
371,Life of Pi,2012,7.9,79.0,585576,124.99,127
372,Boyz n the Hood,1991,7.8,76.0,127635,57.5,112
373,The Graduate,1967,8.0,83.0,255562,104.95,106
374,How to Train Your Dragon,2010,8.1,75.0,673595,217.58,98
375,3 Idiots,2009,8.4,67.0,349331,6.53,170
376,Coraline,2009,7.7,80.0,199807,75.29,100
377,Slumdog Millionaire,2008,8.0,84.0,804117,141.32,120
378,Rosemary's Baby,1968,8.0,96.0,196332,,137
379,Gattaca,1997,7.8,64.0,283070,12.34,106
380,500 Days of Summer,2009,7.7,76.0,475938,32.39,95
381,Aladdin,1992,8.0,86.0,376881,217.35,90
382,Chungking Express,1994,8.1,77.0,65082,0.6,102
383,The Untouchables,1987,7.9,79.0,285079,76.27,119
384,Being John Malkovich,1999,7.7,90.0,315127,22.86,113
385,Before Sunrise,1995,8.1,77.0,276189,5.54,101
386,The King's Speech,2010,8.0,88.0,644586,138.8,118
387,Rear Window,1954,8.4,100.0,448662,36.76,112
388,The Warriors,1979,7.6,65.0,94786,22.49,92
389,Blood Diamond,2006,8.0,64.0,503845,57.37,143
390,The Theory of Everything,2014,7.7,72.0,409315,35.89,123
391,Dangal,2016,8.4,,159964,12.39,161
392,The Last Samurai,2003,7.7,55.0,403233,111.11,154
393,The Florida Project,2017,7.6,92.0,97309,5.9,111
394,God's Own Country,2017,7.7,85.0,25935,0.34,104
395,The Secret in Their Eyes,2009,8.2,80.0,195455,6.39,129
396,For a Few Dollars More,1965,8.2,74.0,235237,15.0,132
397,Blue Velvet,1986,7.7,76.0,183294,8.55,120
398,Creed,2015,7.6,82.0,249996,109.77,133
399,Star Trek Into Darkness,2013,7.7,72.0,465074,228.78,132
400,The Blues Brothers,1980,7.9,60.0,184902,57.23,133
401,Do the Right Thing,1989,8.0,93.0,91257,27.55,120
402,The Little Mermaid,1989,7.6,88.0,240020,111.54,83
403,The Magnificent Seven,1960,7.7,74.0,88382,4.91,128
404,Rushmore,1998,7.7,86.0,171267,17.11,93
405,Gifted,2017,7.6,60.0,101677,24.8,101
406,3:10 to Yuma,2007,7.7,76.0,291477,53.61,122
407,Lethal Weapon,1987,7.6,68.0,238759,65.21,109
408,Cool Hand Luke,1967,8.1,92.0,163641,16.22,127
409,Spartacus,1960,7.9,87.0,125326,30.0,197
410,Falling Down,1993,7.6,56.0,173688,40.9,113
411,Zombieland,2009,7.6,73.0,523653,75.59,88
412,Empire of the Sun,1987,7.7,62.0,116981,22.24,153
413,A Fistful of Dollars,1964,8.0,65.0,200100,14.5,99
414,Y Tu Mamá También,2001,7.6,88.0,116722,13.62,106
415,As Good as It Gets,1997,7.7,67.0,278065,148.48,139
416,Moon,2009,7.9,67.0,337545,5.01,97
417,District 9,2009,7.9,81.0,641731,115.65,112
418,The Treasure of the Sierra Madre,1948,8.2,98.0,115393,5.01,126
419,Who Framed Roger Rabbit,1988,7.7,83.0,183452,156.45,104
420,Despicable Me,2010,7.6,72.0,504648,251.51,95
421,The Boondock Saints,1999,7.8,44.0,228390,0.03,108
422,Goldfinger,1964,7.7,87.0,175566,51.08,110
423,Glory,1989,7.8,78.0,124513,26.83,122
424,Blood Simple,1984,7.6,83.0,88974,2.15,99
425,I Saw the Devil,2010,7.8,67.0,113277,0.13,144
426,Searching,2018,7.6,71.0,143368,26.02,102
427,Fear and Loathing in Las Vegas,1998,7.6,41.0,261606,10.68,118
428,Halloween,1978,7.7,87.0,234979,47.0,91
429,Man on Fire,2004,7.7,47.0,332236,77.91,146
430,"Paris, Texas",1984,8.1,78.0,93519,2.18,145
431,Gravity,2013,7.7,96.0,774661,274.09,91
432,To Kill a Mockingbird,1962,8.2,88.0,295973,,129
433,Donnie Brasco,1997,7.7,76.0,283035,41.91,127
434,Gran Torino,2008,8.1,72.0,726179,148.1,116
435,Misery,1990,7.8,75.0,186880,61.28,107
436,End of Watch,2012,7.6,68.0,229853,41.0,109
437,A Silent Voice: The Movie,2016,8.1,78.0,51603,,130
438,The Fault in Our Stars,2014,7.7,69.0,347271,124.87,126
439,Philomena,2013,7.6,77.0,94857,37.71,98
440,The Fighter,2010,7.8,79.0,343745,93.62,116
441,Captain Phillips,2013,7.8,82.0,425334,107.1,134
442,Raging Bull,1980,8.2,89.0,325133,23.38,129
443,The Great Escape,1963,8.2,86.0,226861,12.1,172
444,It's a Wonderful Life,1946,8.6,89.0,409905,,130
445,Carlito's Way,1993,7.9,65.0,202872,36.95,144
446,Toy Story 3,2010,8.2,92.0,764514,415.0,103
447,Beauty and the Beast,1991,8.0,95.0,419744,218.97,84
448,Isle of Dogs,2018,7.9,82.0,142395,32.02,101
449,This Is Spinal Tap,1984,7.9,92.0,130005,0.19,82
450,Singin' in the Rain,1952,8.3,99.0,221460,8.82,103
451,The Road Warrior,1981,7.6,77.0,167810,12.47,96
452,Boyhood,2014,7.9,100.0,337578,25.38,165
